Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Isle of Man,IMN,GDP per capita (current US$),NY.GDP.PCAP.CD,84753.4567280589,82041.6210499781,83510.3037459928,89425.8913886018,87152.4530174045
Israel,ISR,GDP per capita (current US$),NY.GDP.PCAP.CD,36206.5222171621,37690.4739511859,41114.7817082553,42406.8454263606,44452.2325623093
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,30242.3861352184,30960.7315088911,32406.7203150137,34622.1696664735,33673.7509627414
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,5077.55163565712,5022.70332766053,5273.14892328505,5594.49310704577,5626.17040261069
Japan,JPN,GDP per capita (current US$),NY.GDP.PCAP.CD,34960.6393843385,39375.4731620781,38834.0529341227,39751.1330982711,40415.9567649547
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4064.25301043642,4003.40474641177,4073.11640314668,4146.40731063215,4159.67140765344
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,10510.7703082872,7714.84184376024,9247.58068659796,9812.62542188505,9812.59553636276
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1496.65356762256,1562.07661095478,1675.98842952557,1845.78341285836,1970.0800629654
Kiribati,KIR,GDP per capita (current US$),NY.GDP.PCAP.CD,1459.14369528831,1506.23102993198,1566.44704429709,1607.22964956271,1410.01508996396
"Korea, Dem. People's Rep.",PRK,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,28732.2310762599,29288.8704389833,31616.8434004683,33436.9230646064,31902.4169048194
Kosovo,XKX,GDP per capita (current US$),NY.GDP.PCAP.CD,3520.78042080341,3759.47103972559,4009.35603807673,4384.19040401626,4416.03132183173
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,29315.1960719019,27026.6481960811,29258.289635943,32012.1352035471,30666.2206640015
Kyrgyz Republic,KGZ,GDP per capita (current US$),NY.GDP.PCAP.CD,1121.08269123697,1120.66706080157,1242.7702228364,1308.13977921847,1374.03113638998
Lao PDR,LAO,GDP per capita (current US$),NY.GDP.PCAP.CD,2125.45905698314,2309.0490761946,2439.4633552251,2553.36186646266,2598.50552320723
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,13786.4567953114,14331.7515885053,15695.115154106,17865.0310947639,17945.2222164981
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,7802.75136773923,8172.29947595953,8679.8974221128,9225.84515488016,8925.42186018651
Lesotho,LSO,GDP per capita (current US$),NY.GDP.PCAP.CD,1113.86863173964,986.265256814218,1062.71239873122,1162.97879205186,1094.49943775496
Liberia,LBR,GDP per capita (current US$),NY.GDP.PCAP.CD,699.662946853965,722.131226789418,706.892691974846,700.037039377706,665.878447568436
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,7867.51573102412,7945.00605016919,10529.116268568,11838.2987075,10542.4290203358
Liechtenstein,LIE,GDP per capita (current US$),NY.GDP.PCAP.CD,167809.21268111,165845.928847599,170875.739911488,175286.619274312,167259.160311816
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,14263.9645773495,15008.313244553,16885.4073948375,19186.3595916406,19598.4008704357
Luxembourg,LUX,GDP per capita (current US$),NY.GDP.PCAP.CD,105462.012584423,106899.293549555,110193.213797229,116786.511654675,112621.821337402
"Macao SAR, China",MAC,GDP per capita (current US$),NY.GDP.PCAP.CD,73220.6317344085,71919.0526699551,78985.632294577,84923.308755835,83183.4723863046
Madagascar,MDG,GDP per capita (current US$),NY.GDP.PCAP.CD,455.638034528182,464.616158414292,503.498058680237,512.543991518575,512.279665582666
Malawi,MWI,GDP per capita (current US$),NY.GDP.PCAP.CD,544.276872378699,454.443266065248,500.165547203323,537.932204050438,584.362867276266
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,9699.58490873216,9555.64733478683,9979.70475684195,11073.9785943006,11132.1034532052
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,9434.31190964075,9640.31919054401,10063.0037101733,10823.6104831326,11118.5262346524
Mali,MLI,GDP per capita (current US$),NY.GDP.PCAP.CD,723.504204968944,750.051809022529,795.682802118529,856.35659593664,840.175746132551
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,24921.6778983872,25623.855626725,28823.3457592861,31566.3581092742,31506.5568445964
